Order City,Apparel,Book Shop,Discs Shop,Fan Shop,Fitness,Footwear,Golf,Health and Beauty ,Outdoors,Pet Shop,Technology
Focsani,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Foggia,15.0,0.0,0.0,20.0,2.0,0.0,4.0,0.0,1.0,0.0,4.0
Foligno,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Fontaine,13.0,0.0,0.0,17.0,0.0,4.0,8.0,0.0,3.0,0.0,0.0
Fontainebleau,3.0,0.0,0.0,7.0,0.0,1.0,4.0,0.0,0.0,0.0,2.0
Fontenay-aux-Roses,19.0,1.0,0.0,20.0,2.0,5.0,10.0,0.0,5.0,0.0,3.0
Fontenay-le-Comte,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Fontenay-sous-Bois,3.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Forbach,2.0,0.0,0.0,6.0,0.0,2.0,1.0,0.0,2.0,0.0,2.0
Forst,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Forster,11.0,1.0,1.0,20.0,0.0,2.0,9.0,0.0,3.0,0.0,0.0
Fort Collins,6.0,0.0,0.0,6.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0
Fort Lauderdale,11.0,0.0,0.0,18.0,2.0,4.0,8.0,0.0,2.0,0.0,0.0
Fort Portal,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fort Worth,24.0,0.0,0.0,32.0,0.0,7.0,14.0,0.0,3.0,0.0,0.0
Fort-de-France,26.0,0.0,0.0,50.0,0.0,10.0,29.0,0.0,5.0,0.0,0.0
Fortaleza,13.0,0.0,0.0,26.0,2.0,6.0,8.0,0.0,4.0,0.0,0.0
Foshan,6.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0
Foumban,4.0,0.0,0.0,8.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0
Franca,5.0,0.0,0.0,7.0,0.0,3.0,7.0,0.0,4.0,0.0,0.0
Francisco Beltrão,3.0,0.0,0.0,6.0,1.0,3.0,4.0,0.0,1.0,0.0,0.0
Francisco Morato,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Franco da Rocha,3.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Franconville,2.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0,2.0,0.0,0.0
Frankfurt,68.0,0.0,2.0,58.0,0.0,15.0,40.0,0.0,11.0,0.0,3.0
Franklin,28.0,0.0,0.0,30.0,3.0,6.0,20.0,0.0,7.0,0.0,0.0
Frederiksberg,13.0,0.0,0.0,19.0,0.0,5.0,9.0,0.0,2.0,0.0,0.0
Freeport,7.0,0.0,0.0,14.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0
Freiburg,9.0,0.0,2.0,12.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0
Fremont,6.0,0.0,0.0,6.0,1.0,0.0,9.0,0.0,1.0,0.0,0.0
Fresnes,3.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
Fresnillo de González Echeverría,5.0,0.0,0.0,16.0,0.0,3.0,5.0,0.0,1.0,0.0,0.0
Fresno,17.0,0.0,0.0,25.0,2.0,5.0,13.0,0.0,2.0,0.0,0.0
